"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00252065","CULBERTSON, NE US","1953","732.2","732.2","        54","        37",,"         6","         2","       158","         6","       176","        84","-22.8",,"211.0","61.0","41.7","-2.8","-2.8","-6.1","-8.9","-8.9","-2.2","-2.2","-7.8","-7.8","-11.7","3167.0","3167.0","505.5","837.0","12.1","20.4","3.8"
"USC00252065","CULBERTSON, NE US","1954","842.2","842.2","        55","        32","       24","         4","         4","       158","        16","       175","        81","-22.2","102","102.0","36.1","43.3","-3.3","-3.3","-6.7","-6.7","-12.2","-4.4","-4.4","-4.4","-12.2","-12.2","3028.4","3028.4","358.6","190.0","12.4","20.8","4.1"
"USC00252065","CULBERTSON, NE US","1955","772.6","772.6","        58","        25","       78","         8","        12","       160","        39","       182","        81","-21.7","203","203.0","29.7","41.1","-1.1","-3.3","-6.7","-6.7","-10.6","0.0","-6.7","-6.7","-6.7","-14.4","3184.8","3184.8","349.1","867.0","10.8","18.9","2.6"
"USC00252065","CULBERTSON, NE US","1956","745.1","745.1","        62","        32","       43","        13","         4","       159","        21","       185","        85","-22.2","127","203.0","27.4","42.2","0.0","-3.3","-6.1","-10.0","-10.0","-3.3","-3.3","-5.0","-6.7","-13.3","3471.8","3471.8","286.7","698.0","11.9","20.4","3.3"
"USC00252065","CULBERTSON, NE US","1957","598.9","598.9","        93","        50","       35","        12","         9","       155","        18","       164","        52","-24.4","152","102.0","35.6","38.9","0.0","-3.9","-5.0","-7.2","-10.0","-1.1","-5.0","-5.0","-7.2","-8.9","3140.3","3140.3","617.6","612.0","11.0","18.5","3.4"
"USC00252065","CULBERTSON, NE US","1958","581.5","581.5","        90","        56","       69","        15","         7","       168","        37","       177","        51","-21.1","406","203.0","40.1","40.0","-1.1","-2.8","-4.4","-6.7","-16.7","0.0","-3.3","-4.4","-8.3","-13.9","3446.2","3446.2","558.4","1172.0","10.4","18.0","2.7"
"USC00252065","CULBERTSON, NE US","1959","627.5","627.5","        69","        45","       46","        11","        12","       167","        23","       159","        69","-29.4","127","127.0","62.0","40.6","0.0","-2.2","-4.4","-7.8","-10.6","0.0","-2.8","-7.2","-7.2","-9.4","3395.9","3395.9","563.7","617.0","10.1","18.2","2.0"
"USC00252065","CULBERTSON, NE US","1960","565.4","565.4","        85","        49","       84","        21","        20","       159","        39","       175","        54","-30.6","330","152.0","26.9","41.1","-1.7","-4.4","-4.4","-7.2","-14.4","0.0","-2.8","-6.1","-9.4","-9.4","3865.4","3865.4","506.6","1253.0","9.8","17.7","1.9"
"USC00252065","CULBERTSON, NE US","1961","562.4","562.4","        88","        46","       57","        13","        11","       174","        30","       151","        50","-29.4","229","127.0","26.7","40.0","-1.1","-3.9","-4.4","-12.2","-12.2","-0.6","-7.2","-7.2","-7.2","-9.4","3367.3","3367.3","444.0","851.0","9.7","17.6","1.9"
"USC00252065","CULBERTSON, NE US","1962","488.3","488.3","        75","        45","       32","         7","        18","       165","        28","       180","        34","-24.4","51","51.0","64.0","37.8","-0.6","-2.2","-6.7","-6.7","-8.9","0.0","-2.8","-5.0","-8.9","-8.9","3645.3","3645.3","683.2","271.0","10.5","18.5","2.6"
"USC00252065","CULBERTSON, NE US","1963","757.0","757.0","        66","        38","       49","         9","        22","       152","        40","       195","        65","-27.8","203","203.0","67.3","40.6","-1.1","-6.1","-6.1","-6.7","-10.6","-1.7","-6.7","-6.7","-6.7","-10.0","3252.4","3252.4","406.6","755.0","11.4","19.4","3.5"
"USC00252065","CULBERTSON, NE US","1964","594.7","594.7","        69","        38","       32","         9","         7","       179","        21","       166","        60","-25.6","152","152.0","57.4","40.6","-2.2","-2.2","-6.7","-6.7","-20.0","-2.8","-2.8","-7.2","-7.2","-12.2","3387.4","3387.4","466.7","623.0","10.2","18.7","1.8"
"USC00252065","CULBERTSON, NE US","1965",,,,,,,,,,,,,,,,,,,,,,,,,,,"3586.0","3586.0",,,,,
"USC00252065","CULBERTSON, NE US","1968","472.2","472.2","        53","        39",,"         2","        15","       185","        29","       164","        62","-30.0",,"178.0","111.8","41.1","-2.2","-2.2","-4.4","-6.7","-12.8","-0.6","-2.8","-6.1","-6.7","-10.0",,,"561.5","274.0","9.2","18.5","-0.1"
"USC00252065","CULBERTSON, NE US","1969",,,,,"       20",,,,,,,,"203",,,,,,,,,,,,,,,,,,,,
"USC00252065","CULBERTSON, NE US","1970",,,"        63","        39","       19",,"         7","       194",,,,"-23.3","203",,"45.5",,"0.0","-2.2","-4.4","-8.3","-9.4","-0.6","-2.8","-6.1","-6.7","-9.4",,,"378.0",,,,"1.0"
"USC00252065","CULBERTSON, NE US","1971","470.0","470.0","        71","        43","       38","        12","        12","       177","        33","       166","        50","-30.0","178","178.0","49.3","40.6","-1.1","-3.3","-6.1","-6.7","-10.6","0.0","-2.2","-10.0","-10.0","-10.0","3696.0","3696.0","557.2","797.0","9.6","18.0","1.3"
"USC00252065","CULBERTSON, NE US","1972","482.1","482.1","        72","        46","       44","         7","        22","       172","        35","       168","        53","-26.7","229","127.0","37.8","37.2","-0.6","-3.9","-6.1","-6.7","-11.1","0.0","-2.8","-10.6","-10.6","-10.6","3426.1","3426.1","498.3","572.0","9.5","17.5","1.4"
"USC00252065","CULBERTSON, NE US","1973","469.7","469.7","        74","        47","       33","        10","        14","       172","        31","       155","        52","-24.4","279","203.0","44.7","41.7","-3.3","-3.3","-5.0","-6.7","-10.6","-2.2","-2.2","-5.0","-6.7","-10.0","3806.3","3806.3","664.8","697.0","9.7","17.6","1.9"
"USC00252065","CULBERTSON, NE US","1974",,,"        59","        39","       38","        10","        14","       179",,,,"-30.0","305","76.0","93.2",,"-1.1","-2.2","-5.6","-8.3","-9.4","-0.6","-6.7","-6.7","-6.7","-11.1","3560.2","3560.2","434.3","478.0",,,"0.9"
"USC00252065","CULBERTSON, NE US","1975","466.9","466.9","        69","        39","       47","        13","        12","       186","        33","       176","        57","-24.4","406","305.0","63.5","38.3","0.0","-2.8","-7.8","-7.8","-8.9","0.0","-2.8","-5.0","-8.9","-8.9",,,"551.1","1089.0","9.3","17.8","0.7"
"USC00252065","CULBERTSON, NE US","1976","519.6","519.6","        53","        31","       28","         9","        14","       183","        25","       167","        58","-23.9","178","127.0","69.6","39.4","-2.8","-2.8","-5.6","-7.2","-9.4","0.0","-2.2","-6.1","-6.7","-10.6","3511.7","3511.7","466.5","597.0","10.1","18.9","1.3"
"USC00252065","CULBERTSON, NE US","1977","558.8","558.8","        71","        47","       23","         8","        20","       168","        24","       186","        48","-23.3","127","140.0","101.6","40.6","-2.8","-2.8","-6.7","-6.7","-10.6","0.0","-2.8","-7.2","-7.2","-10.6","3462.7","3462.7","669.1","559.0","10.8","19.3","2.4"
"USC00252065","CULBERTSON, NE US","1978","595.2","595.2","        67","        38","       54","        11","        23","       181","        57","       177","        66","-27.2","279","102.0","38.1","40.6","0.0","-3.9","-4.4","-6.7","-11.7","0.0","-2.2","-4.4","-22.2","-22.2","3768.2","3768.2","362.3","595.0","9.1","17.2","1.0"
"USC00252065","CULBERTSON, NE US","1979","492.1","492.1","        72","        47","       36","         6","        23","       176","        38","       166","        54","-28.3","127","127.0","51.8","38.9","0.0","-3.3","-5.6","-7.8","-8.9","0.0","-2.8","-5.6","-6.7","-10.0","3932.0","3932.0","590.2","481.0","9.3","17.5","1.1"
"USC00252065","CULBERTSON, NE US","1980","628.6","628.6","        59","        38","       55","        11","        17","       185","        33","       176","        70","-26.1","305","203.0","55.4","41.1","-1.7","-2.8","-6.1","-8.3","-9.4","0.0","-2.8","-6.1","-6.7","-8.9","3603.8","3603.8","449.0","1245.0","10.3","18.8","1.8"
"USC00252065","CULBERTSON, NE US","1981","477.8","477.8","        73","        51","       24","        11","         8","       167","        16","       175","        50","-27.2","76","127.0","104.1","40.6","-0.6","-2.2","-4.4","-8.9","-8.9","-1.1","-3.3","-6.1","-7.2","-8.9","3166.8","3166.8","663.9","513.0","10.8","19.3","2.2"
"USC00252065","CULBERTSON, NE US","1982",,,"        88","        50","       32","        11","        24","       172",,,,"-29.4","254","203.0","74.9",,"-2.8","-2.8","-5.6","-9.4","-9.4","0.0","-6.1","-6.1","-7.8","-11.1",,,"669.9","804.0",,,"0.7"
"USC00252065","CULBERTSON, NE US","1983","688.0","688.0","        79","        37","       87","        12","        18","       170","        49","       159","        77","-32.2","330","211.0","48.0","41.1","-1.1","-4.4","-4.4","-8.9","-8.9","0.0","-2.8","-5.0","-7.8","-13.3","3586.0","3586.0","514.0","990.0","9.8","17.6","2.0"
"USC00252065","CULBERTSON, NE US","1984","538.2","538.2","        92","        51","       67","        13","        10","       186","        24","       145","        60","-31.7","356","356.0","55.9","38.9","0.0","-6.1","-6.1","-6.7","-8.9","-1.1","-3.9","-4.4","-6.7","-11.1","3897.9","3897.9","628.5","1270.0","9.5","17.2","1.8"
"USC00252065","CULBERTSON, NE US","1985","476.8","476.8","        84","        41",,"        16","        23","       183","        47","       166","        49","-26.7",,"191.0","94.2","41.7","-0.6","-2.2","-4.4","-11.1","-11.1","0.0","-6.7","-6.7","-6.7","-11.1","3595.3","3595.3","544.1","1195.0","9.0","17.1","0.9"
"USC00252065","CULBERTSON, NE US","1986","501.5","501.5","        77","        45","       31","        10","        10","       161","        15","       181","        54","-23.9","102","114.0","36.8","38.9","-3.3","-3.3","-5.6","-8.9","-8.9","0.0","-5.6","-5.6","-6.7","-11.1","3404.9","3404.9","464.5","563.0","11.4","19.7","3.1"
"USC00252065","CULBERTSON, NE US","1987","533.4","533.4","        78","        45","       28","        14","         3","       176","        20","       176","        52","-18.9","152","147.0","73.4","40.6","-1.1","-9.4","-9.4","-9.4","-9.4","-4.4","-4.4","-4.4","-8.3","-16.1","3134.2","3134.2","545.6","1026.0","10.9","19.0","2.8"
"USC00252065","CULBERTSON, NE US","1988","622.5","622.5","        66","        39",,,"        20","       177","        26","       183","        59","-27.8",,,"50.0","41.1","-0.6","-8.3","-8.3","-8.3","-10.0","-0.6","-5.0","-5.0","-9.4","-9.4","3613.9","3613.9","522.4",,"10.3","18.8","1.8"
"USC00252065","CULBERTSON, NE US","1989","476.8","476.8","        70","        36","       32","         9","        23","       171","        37","       185","        41","-36.7","127","76.0","73.9","40.6","0.0","-10.0","-10.0","-10.0","-10.0","-1.7","-2.2","-6.1","-9.4","-9.4","3449.2","3449.2","505.9","498.0","9.8","18.5","1.1"
"USC00252065","CULBERTSON, NE US","1990","639.3","639.3","        71","        34","       43","         7","         9","       165","        25","       176","        64","-26.1","305","292.0","27.4","42.2","0.0","-5.0","-5.0","-7.2","-11.7","-1.1","-4.4","-4.4","-6.7","-10.6","3340.4","3340.4","416.8","719.0","10.9","19.1","2.6"
